codigo_ibge,nome_municipio
600,Santana
55,Serra do Navio
709,Tartarugalzinho
808,Vitória do Jari
251,Abreulândia
301,Aguiarnópolis
350,Aliança do Tocantins
400,Almas
707,Alvorada
1002,Ananás
1051,Angico
1101,Aparecida do Rio Negro
1309,Aragominas
1903,Araguacema
2000,Araguaçu
2109,Araguaína
2158,Araguanã
2208,Araguatins
2307,Arapoema
2406,Arraias
2554,Augustinópolis
2703,Aurora do Tocantins
2901,Axixá do Tocantins
3008,Babaçulândia
3057,Bandeirantes do Tocantins
3073,Barra do Ouro
3107,Barrolândia
3206,Bernardo Sayão
3305,Bom Jesus do Tocantins
3602,Brasilândia do Tocantins
3701,Brejinho de Nazaré
3800,Buriti do Tocantins
3826,Cachoeirinha
3842,Campos Lindos
3867,Cariri do Tocantins
3883,Carmolândia
3891,Carrasco Bonito
3909,Caseara
4105,Centenário
5102,Chapada da Natividade
4600,Chapada de Areia
5508,Colinas do Tocantins
16703,Colméia
5557,Combinado
5607,Conceição do Tocantins
6001,Couto Magalhães
6100,Cristalândia
6258,Crixás do Tocantins
6506,Darcinópolis
7009,Dianópolis
7108,Divinópolis do Tocantins
7207,Dois Irmãos do Tocantins
7306,Dueré
7405,Esperantina
7553,Fátima
7652,Figueirópolis
7702,Filadélfia
8205,Formoso do Araguaia
8304,Goianorte
9005,Goiatins
9302,Guaraí
9500,Gurupi
9807,Ipueiras
10508,Itacajá
10706,Itaguatins
10904,Itapiratins
11100,Itaporã do Tocantins
11506,Jaú do Tocantins
11803,Juarina
11902,Lagoa da Confusão
11951,Lagoa do Tocantins
12009,Lajeado
12157,Lavandeira
12405,Lizarda
12454,Luzinópolis
12504,Marianópolis do Tocantins
12702,Mateiros
12801,Maurilândia do Tocantins
13205,Miracema do Tocantins
13304,Miranorte
13601,Monte do Carmo
13700,Monte Santo do Tocantins
13957,Muricilândia
14203,Natividade
14302,Nazaré
14880,Nova Olinda
15002,Nova Rosalândia
15101,Novo Acordo
15150,Novo Alegre
15259,Novo Jardim
15507,Oliveira de Fátima
21000,Palmas
15705,Palmeirante
13809,Palmeiras do Tocantins
15754,Palmeirópolis
16109,Paraíso do Tocantins
16208,Paranã
16307,Pau D'Arco
16505,Pedro Afonso
16604,Peixe
16653,Pequizeiro
17008,Pindorama do Tocantins
17206,Piraquê
17503,Pium
17800,Ponte Alta do Bom Jesus
17909,Ponte Alta do Tocantins
18006,Porto Alegre do Tocantins
18204,Porto Nacional
18303,Praia Norte
18402,Presidente Kennedy
18451,Pugmil
18501,Recursolândia
18550,Riachinho
18659,Rio da Conceição
18709,Rio dos Bois
18758,Rio Sono
18808,Sampaio
18840,Sandolândia
18865,Santa Fé do Araguaia
18881,Santa Maria do Tocantins
18899,Santa Rita do Tocantins
18907,Santa Rosa do Tocantins
19004,Santa Tereza do Tocantins
20002,Santa Terezinha do Tocantins
20101,São Bento do Tocantins
20150,São Félix do Tocantins
20200,São Miguel do Tocantins
20259,São Salvador do Tocantins
20309,São Sebastião do Tocantins
20499,São Valério
20655,Silvanópolis
20804,Sítio Novo do Tocantins
20853,Sucupira
8254,Tabocão
20903,Taguatinga
20937,Taipas do Tocantins
20978,Talismã
21109,Tocantínia
21208,Tocantinópolis
21257,Tupirama
21307,Tupiratins
22081,Wanderlândia
22107,Xambioá
55,Açailândia
105,Afonso Cunha
154,Água Doce do Maranhão
204,Alcântara
303,Aldeias Altas
402,Altamira do Maranhão
436,Alto Alegre do Maranhão
477,Alto Alegre do Pindaré
501,Alto Parnaíba
550,Amapá do Maranhão
600,Amarante do Maranhão
709,Anajatuba
808,Anapurus
832,Apicum-Açu
873,Araguanã
907,Araioses
956,Arame
1004,Arari
1103,Axixá
1202,Bacabal
1251,Bacabeira
1301,Bacuri
1350,Bacurituba
1400,Balsas
1509,Barão de Grajaú
1608,Barra do Corda
1707,Barreirinhas
1772,Bela Vista do Maranhão
1731,Belágua
1806,Benedito Leite
1905,Bequimão
1939,Bernardo do Mearim
1970,Boa Vista do Gurupi
2002,Bom Jardim
2036,Bom Jesus das Selvas
2077,Bom Lugar
2101,Brejo
2150,Brejo de Areia
2200,Buriti
2309,Buriti Bravo
2325,Buriticupu
2358,Buritirana
2374,Cachoeira Grande
2408,Cajapió
2507,Cajari
2556,Campestre do Maranhão
2606,Cândido Mendes
2705,Cantanhede
2754,Capinzal do Norte
2804,Carolina
2903,Carutapera
3000,Caxias
3109,Cedral
3125,Central do Maranhão
3158,Centro do Guilherme
3174,Centro Novo do Maranhão
3208,Chapadinha
